lineNum,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
761,Talking about the alleged terrorism network in Pakistan he said that Indian Army will have to face the forces which are objected to destroy peace and weaken India.,He said that 700 to 800 militants are present in Indian Kashmir almost half of them are foreigners.,General Deepak Kapoor said with the betterment of weather attempts of slander may increase from Pakistan and her side of Kashmir&#44; however India has increased vigilance on borders.,He refused the chances of reducing the number of deployed army in Indian administered Kashmir by saying that no compromise on country security.,May God bring people&#39;s dialogue pleasantness and bring Barack as blessing to world,Well there is no hope but see what Pakistan-America relationship brings to us in the result of this change,Thats the Wish of martin the king human right activist&#44; who wnated to make the world a peaceful place,Obama&#39;s (whose name has Hussein also)&#44; oath as a President of America on one hand is historical while on the other hand is a hard test too,not only for him but for all those people who has supported him heartily.,This will also be a test for white people majority as it is not easy for them to accept heartily the presidency of black on them.
771,Here in Southern Asia specially Muslims who have developed expectation from him must remember that he has been elected as President of America and Obama must remember that President of America is Practically the president of the whole world.,From now a little bit later a person whose is a servant has been bought to America from their countries and whose blood and sweat has strong urge to do holy war is today American 24th president.,For one about several persons are depending on him.,It is necessary for people who likes him not to have over expectations from him.,If Obama succeeds in lowering race&#44; religion and other differences then it will be a victory for people who love him.,Due to this change what would be effect on Asia due to this question whether there would be a change in american policies,What will be the effect of these changes on relationship between Pakistan and America,BBC,Whether its Mr Obama or any other throught out the world,And whereas Pakistan is related recently on issue of bombings on mumbai . India&#44; Israel and America have lost peace is in front of the world
781,After formation of Pakistan also all the prospects of south was under walis south which had a single rule.,It had given Pakistan for a period to rule south,But tragically our government behaved with south as step mother.,In south after the end of wali south rule there were no increase in schools,And also there showed no interest in their developments.,Presently the girls seeking education went down.,Targeting of educational institutes is continued by local Talibans in NWFP Province of Pakistan.,Most schools are destroyed in Swat majority of those are of girls.,Not only this Taliban has announced a ban on girls education.,Thousands of students (boys and girls) are unable to get education.
791,What do you think Talibans wants to achieve by stopping women education.,Why the government has failed to stop these illegal actions?,In your opinion what government should do.,Question must be this that what ISI and Pakistani Agencies will get.,Because Swat people has understand the game that army is there to serve Taliban not to kill them otherwise how five schools can be destroyed in a single night during curfew&#44; how people can be butchered and hanged in the square.,When government writ is unable to implement in Swat in these circumstances how the government will succeed in eliminating these illegal activities.,Now the question is when government has every thing like armed force&#44; latest weapons&#44; latest technology and spy system then why these Taliban can;t be controlled?,The only answer is that they are supported by some unseen power that neither their weapons finish nor they get caught.,The essence is that these Taliban are paving the path for &#39;International Imperialism&#39; by their bad deeds.,from now fifteen years back Afghanistan was facing a war
801,ISI had control over Taliban. which was supported by Russia&#44; India and Iran.,then there were sudden changes by which the activities of Taliban came to light.,ISI received dollar offerings from America there by close friends turned to enemies.,the results are this the war is still continued. but in reality Pakistan is helped by Iran&#44; India and Russia,It is a human mistake of doing wrong by not doing what is right.,If a thief robs a place&#44; then he is in danger to rob the same place and same time tomorrow as well. If he fears god and man&#44; he will not steal.,Similarly&#44; Israel should realised that it is a wrong thing to have bloodshed in Gaza.,Greetings!,The question is whether war&#44; armed movements and terrorism are the answer to our problems?,If not then what is that chemical prescription that will take us to the solution of these problems?
811,This extremist path of war does not solve our problems but increases them.,In their movements&#44; Palestine&#44; Afghanistan&#44; Iraq should take the path that Nelson Mandela took in South Africa as a model.,That means political and inner struggle are more important than armed struggle.,From the participation of Kashmiris in elections it can seen that they have accepted this point-of-view.,The Israeli attacks on Gaza still continue in the third week and the death toll have reached to one thousand.,In spite of international diplomatic efforts &#44;yet it did not reach to cease-fire.,According to an estimate&#44;since the attacks started on 27 December to uptill now&#44;90 thousand Palestinian left their homes and have been migrated to the safe areas.,On the other hand relief organizations said by accusing Israel of dereliction of duty toward the protection of Palestinian children &#44;that the one entire generation of Palestinian children has become victim of serious psychological and emotional difficulties.,what do you say?,What should be done?
821,How long lasting peace is possible in Gaza?,For details&#44;click here;,Please note followed: Due to increase in number of remarks&#44;only those opinions are to be published which are typed in Urdu.,For this purpose&#44;select Urdu be pressing alt+shift from on- sucreen key board.,Talibans should be given chances.,Basit&#44;Peshawar,Be aware if taliban started the real jehad then who will slaughter the innocent people?,Who will put girl&#39;s school on torch?,And who will hang people at poles by nominating as American spy having no ransom from them after kidnapping.,No nation or religion has dammaged Islam so far then these talibans.
831,Persian era.,Kohat Pakistan,If the whole Islamic world just threat Israel for launch of attack you will see that in how much pain father of Israel America will be in,and not only talks about real ceasefire rather ceasefire will be accomplished.,But what to do our Muslim leaders lack the courage greatly.,Some one ask Ahmadinejad to take the initiative because your bravery is very popular in BBC Forum.,The responsibility of establishing peace and human rights does not rest with the Arabs or the Muslims of the world alone but is the obligation of the entire world community to raise their voice against tyranny.,This dreadful incident is the worst amongst the crimes committed by Bush.,Just like in Pakistan and India at the end of the financial year on 30th of June&#44; the governmental institutions are pillaged; the American establishment before the expiry of its term gave a green signal to Israel to do whatever she wants.,On the one hand&#44; America says that a ceasefire will be attempted.
841,On the other hand&#44; the United Nations is accepting petitions and more petitions&#44; but in reality it&#39;s nothing. This means only one thing&#44; that even the United Nations is in on the conspiracy against muslims.,All Muslim nations should disregard the United Nations&#44; and unite under their own weight.,We have a lot of examples in front of us. Where America and United Nations are only passing petitions&#44; the Muslims are bearing the brunt of it.,What is the use of this probaganda when BBC is not going to publish it.,Now where are all the journalism principles. When it comes to muslims blood BBC seems to take its eyes off the reality.,By the way self proclaimed leader of rights.,Pubslishing something from their own sounds far&#44; they even din&#39;t publish the discussions.,On be half of the muslims,They say that in the World you are very much difference By Remining Muslims you and other muslims are in martyred direction and they say all about the muslims,there will not any words to translate in this column...
851,A BBC forums said there will never be suicide attacks in India and also never terrorism in front of a particular faith in the target.,In the extremism word Anti-Islam remarks of his life.,The extremists who is the comments of the above you are not terrorism to send to the particular target,When would our Muslims learn that demon could not be fought with sword.,After seeing the bombardment of Israel in which innocent people unarmed heart cries tears of blood what to do?,But the root cause is this that in the name of killing people which gives a bad impression on Islam,When Palestinian heads had accepted Israels existence then what is the necessary for himas to attack Israel with rockets or committing suicide attacks.,This type of behavior is against humanity.,Then we have a view of America and other countries supporting Israel.,God bless all Muslims to be one&#44; &#39;Ameen&#39;
861,And main terrorist should be prosecuted for their painful activities because the main work is done by him.,Or else will terrorist be able to do on such a great level of terrorism and who is behind this everyone knows.,In this situation in easy language it could be denoted as mafiasm,Hitting people hard and leave them to cry.,Although medicines for the wounded&#44; shrouds and compensation money for the dead are being provided by the Arab Rulers but it is being asked.,What should be done about Israeli attacks?,The problem is that the heads of state of all the muslim countries including Saudi Arabia are in a deep slumber. Neither do they have an army nor any defensive strategy. All they think of is that by giving aid&#44; they have fulfilled their obligation.,They should immediately take practical steps against Israeli aggression.,Like placing an embargo on the oil to European countries and America but alas they ......,Greetings to all brothers and sisters!
871,In my opinion&#44; telling Hamas to quit in the name of peace now&#44; would be an injustice to thousands of widows and orphans.,If the Israelites and their supporters are at a rise&#44; then soon Moses shall be born&#44; as this is the law of nature. America and Israel work as gunpowder amongst suicide bombers in Muslims.,The power drunk elephants do not understand this.,Abu Abdulla: Pakistan.,Hamas and Israel should reconcile so that this bloodshed comes to an end.,Muhammad Sarfraz&#44; Paris&#44; France,Absolutely true.,Let’s suppose that Hamas is really the righteous one and they have waged Jihad against the tyranny to become successful in the divine court&#44; even then they should at least realize that if good brings harm to the people then it is of no use,Those who claim to love God&#44; his Messenger&#44; and their religion; it becomes an integral part of their faith to love humanity.,After the Muslims around the world camps are totally wiped out to marry&quot;&quot;&#44;the order of God.
881,Rehman on behalf of the helps people who are probably KI (-N find,The not to order&#44; but not &#39;Islamabad&#39;s invitation To: The order to.,But against the Zoroastrianism questioning the your jihad against the order.,People time to times when resist not - But the their values this is not the by wearing a &quot;&quot; exploded &quot;&quot;,Brothers&#44; the fate of the murderer of innocent children is annihilation.,But my request to my friends is that Israelis&#44; who had no refuge until yesterday&#44; are now so powerful today that they don&#39;t pay heed to what the world says because the Jews are one.,They are not divided into Shiites and Sunnis but they are all Jews and have made progress in every field of life&#44; built everything.,On the contrary&#44; what is the condition of the 55 Islamic states?,They are lagging behind in every field and now they are so helpless that they are at the mercy of their enemy and are just waiting for their death.,now there is a need for America that all the Muslims combine and collect evidences against Israel.
891,Pakistan ،Feroz magsi، Jhang،,And better than this would be that israel should be investigated and teach them good and let the world in peace.,Muslims have plenty of land and resources.,There is need to be used properly.,One of the shameful situation is this that there wound be no compromise between Himas and Alfath.,famous personalities like Yasser Arafat and Sheik Yasein were been assassinated very diplomatically for Mosque Aksa fighting for &#39;Jihad(holy war)&#39; could be weakened this could have been done only by assassinating Yaseer and Arafat.,The world is watching how after these two leaders Palestinians second by second scattering,and how Jews second by second strengthening their positions,In 1974 a Pakistani Prime Minister was of such an International trust that first time in history he united all the Muslim leaders under one roof with 100 percent attendance.,Today on his 81st birthday is it hard enough for the nation to promise for unity with each other
901,but by eliminating the differences between other Muslims will accomplish its (establishment of Islamic Common Wealth) incomplete mission.,This is the Jin which has grabbed the Palestine by half a century.,This Jin has many mouths.,Many times this Jin converts the attention and pressure of the World by calling bad names to himeself from his own or from any other mouth.,And other mouth of this Jin is eating humen beings in Iraq&#44;Afghanistan&#44;Iran and in Pakistan.,And this Jin is the most anoid with Islam than any other&#44;because it knows that whenever it had turned out&#44;it would have been only and only by Islam&#44; Muslims&#44; and complete faith of Muslims and by practical Islam.The history tells that Islam has taken many people like Abu- Jehal on the right path.,Israel With air attack bombarded on Gaza and also attacked missiles since 27th December,Due to these attacks more than 300 Palestinian civilians are dead,After air attacks now Israeli tanks and with other military vehicles of land inspection have reached the border of Gaza,UNO Security Council in Emergengency meetings have declared it as not good and guided Israeli and paestinians to stop the inspections
911,Hence Israeli officials have said that they would continue this inspection until they are confident about Israel not targeted by rocket attacks,In your opinion is this right for Israel to say about this inspection is to protect Israel?,In this situation is the world organization playing its role?,Is this situations due to uprising situations in Israel?,Is America after having the new President Bari Obama will there be any good in conditions in west?,(Respective please note that the words typed in Urdu will be reviewed,for this in onscreen board press alt+shft and select Urdu?,Palestine is a holy place for us and its defence is our duty,And we should also remain that Palestine is our first place of worship,And israel and america has to be destroyed one day.Cause they were made to be finished and God is surely going to get them into disaster. Sajid Sadiq Lahore
921,The dark and tough night is very hard suffer,Problem can not be solved just by prayers,Such reviews are anxiously telecasted by BBC.,After all the image and prestige of neutralism has to be kept.,Though BBC news are often true but the real thing is the delivery.,What to highlight and which news is given less importance.,etc. etc.,Zaheer Chughtai,Now In this regard our Pakistani print and electronic media&#44; specially few Urdu newspapers and columnists etc. are not behind in the trade who in the coverage or writing of increasing terrorism exaggerate to hell.,The United Nations said that apparently the Human Rights and Peace tells Muslims&#44; but it is working on the oppression and coercion and extremists. The mouth of the words that are listening to see the Hamas attack when closed. This into the contested fraud.
931,The Muslim is huddled cruelty so that if people like امريکہ Supported the Jews&#44; to clean of God&#44; said that This nation of ذليل of the nation and his life will be the nation perfectly normal If you can not plaintiff life if courage to امريکہ is behind the و backing and ديکھنا then that took place&#44; and the زندگى-,All these world renowned leaders and people who murder innocents in the name of peace should realize that peace in the world can only be achieved by justice&#44; and not through injustice or wiping entire races.,If killing a particular race off completely is the answer&#44; then Hitler&#39;s plan would not have seen any jews survive&#44; and definitely not seen their rise.,Says a poet,Injustice is injustice. If it breeds&#44; it dies.,Blood is blood. If it bleeds&#44; it dries.,How can anyone define terrorism?,Isn&#39;t all this terrorism too? Why does only ones pain seem painful?,Aren&#39;t other people human too? So why is only Muslim blood so important? Wasn&#39;t all the innocent people&#39;s blood red too?,So why are there no disapproval messages now?
941,I watched the Mumbai attacks investigations like the fire was in my own home. I cannot watch this human suffering. Can&#39;t everyone else see this suffering? I wish Muslims all over could come together and think about this.,Bodies on load without anyone to see wounded and blooded innocent faces how does not get words to describe,it is pity on the position of Muslims at one side if people are killed in India then the whole without evidence tells Pakistan to investigate or else we would do it,And other side Israel wants to end Muslims and world is quiet this is unacceptable,God has light not darkness and when this darkness ends then.,The threat to Israeli sovereignty is a joke as long as it has America&#39;s backing.,As far as elections are concerned&#44; it is not surprising that the people who are in power do such things to win the heart and mind of people especially in a state like Israel. And speaking of Barak Obama&#44; history shows that no American president has wavered from the policy and will not do so in future. A tyrant is a tyrant whether he is white or black.,It appears from the conversation of forum that everyone is grieved over Benazir death but as politician her mistakes are not forgotten.,It is debatable that Benazir died for democracy or for power.,If she sacrificed for democracy then why she left democracy in the dictatorship of Musharraf for 10 years till she got a deal and American clearance?
951,Benazir did not return Pakistan when dictatorship affected people needed her she returned Pakistan when she has the assurances of free from cases and of power.,No one is going to say anything about the way that this historical figure is being falsely accused.,Sana Khan.,Some things are ignored because nothing can be done about them.,One more writer.,Sir/Madam&#44; maybe if you read not only the history of Pakistan&#44; but of it&#39;s neighboring four countries&#44; or of seven other countries&#44; then you might understand the meaning of Mr. Psycho.,Tariq Abbas,One whose nature is wrong cannot be taught.,For reflection in water is not always clear.,Britain never let them become one&#44; and invented the hindu-muslim friction which was taken ahead by sir Syed.
961,Psycho.,So relentless is our nation&#44; that they are blind when writing poetry for their parties&#44; but no one says anything when our historical figures are battered and falsely accused.,We have progressed enough.,Sana Khan.,Some things are ignored because nothing can be done about them. Just like a donkey doesn&#39;t become a scholar if you put books on him.,Though the attack in Mumbai diturbed the talks between India and Pakistan&#44; it is said that the talks would still continue between them,If the talk is about war&#44; then there will be many loss of human lives.,During the Mumbai city attack&#44; India said that a letter had been sent by Pakistan. Also&#44; when extremists were captured&#44; it was found that the this attack was well engineered by four party,First of all Bahan Saheb and to all Christian friends happy Christmas.,All the companions of firm: Seiko Saheb&#44; Ya Raza&#44; Bahan Sana&#44; behan Shaheda&#44; Ikram and all greetins for all.
971,We all don&#39;t need fire of war but flowers of peace!,War itself is a problem,Do war gives solutions for problems,Fir and blood will today be forgiven,Hungry and despair will be given tomorrow,Because we are all humans,its better if wars postphones,In your and our gardens,its better if lamp glows,The relations between India and America are now deep rooted and India certainly wishes that if the time comes&#44; America shall betray Pakistan blatantly.
981,This is also the history of America.,Though in case of an attack by India&#44; America will achieve her goals and the expenditure will all be that of India.,Pakistan should clearly state that they will not take the initiative but if any aggression is waged&#44; then the talk of peace and ceasefire will only take place either after India’s complete destruction or its capture&#44; even if this happens at the cost of their lives.,This is exactly what Islamic history is.,Before this resolution Pakistani people and army has delivered their message.,Indian struggle for having unusual diplomatic and military benefits in compensation of Mumbai attacks are proving her cunning party then affected. Therefore the world has reduced its pressure on Pakistan contrasting to its initial hard reaction.,UN has expressed faith on Pakistani efforts ignoring the unnecessary lamentation of India and Interpol&#39;s appreciation of Pakistani efforts is the &#39;side effect&#39; of unwanted Indian diplomacy.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,NO TRANSLATION FOUND ON 990
991,NO TRANSLATION FOUND ON 991,NO TRANSLATION FOUND ON 992,NO TRANSLATION FOUND ON 993,The day is not far when in UN resolution of Army intrusion in Pakistan will be approved just like the one against Jamat Aldawa.,Riaz Ahmed Farooqi,First our extremists and their supporters are continuously providing proves and reasons for the action against them and God forbid&#44; the day when such a resolution is submitted then it is very much possible that no body will favor us in UN&#44;,and suppose if this resolution took time to approve then considering the example of America any country will launch the attack at her own.,The Israeli army samiullah adverse&#44; and we achievements and not the information sargarmiya.,A few minutes later he was not revolutionary.,The way kamaridche gawera &#44; nawab akber khan Bugti&#44; Dr.najeebullah and thousands of protestors bodies were disrespected by the hands of enemies.
1001,Die and he has also been.,But they were playing international game here and&#44; is being boorishness and brutality&#44; people scared of the rule.,There are so that she could be having that if we are not be spokesman ferocious and come to destroy the government .,calling an islamic religion as an endless religion is condemnable action.,The extremists gives support to the cruelty of united stated. But this looks like a brutal action against the tribal tradition.,The tradition of the Mantel Lucrative tribals have said not to take brutal action in the name of Islam,In my opinion our army&#44; people will get the people.,They are the move&#44; a copy of this time&#44; so take the laser&#44; the timetable for&#44; so&#44; but they will be on the occasion&#44; and they go there&#44; there are also have the darn cycle.,Are these people that they are so Bahadur 50 70 men are held hostage to our army and hand it to respond to keep the hand of spectators&#44; questionably.,They are also the human beings and the army.
1011,It is clear that the pulse&#44; some.,ملائيت ضياءالحق his career&#44; is now that you&#39;re امريت to God&#44; the qualities of rahimi and karimi to highlight the contrary to the and the name of the religion of the ودہشت fear the atmosphere is set up in this incident&#44; the body apart from their and &#39; &#39;after&#39; will be severe also fear giving birth to.,And this is just worldy people tiny amount and dignity and Jalal his intention to as fear or beign used by the equipment.,speech!!!,you make the people scared from the Fire of the hell.,The case has become his fear&#39;,It is his son when it is said that this is a work of Muslims can not.,We enables it to the eye or are not a senator,After the prophet refused to educationist بيعت closed the doors of the Prophet daughter of the volcano in what and her husband to put the rope who was walked to گھسيٹ?,What he had come to counter the outside.
1021,The army&#39;s pilgrimage to the enemy and what Karbala and what the axle?,Without the facts and accept are unsafe&#44; not a check.,BBC people please stop double policies,Instead of this topic there is better superhit topic: Bush beaten by shoes is legal or illegal?,Should had be,Tahar Chaudry Japan,Friend Feel shy about a person removed from a coffin and tied to a poll just for raising his voice against injustice but have more considerations for box office reviews.,For the success of Operation Sherdil and across the border the success of Operation Lion Heart depends on the favor of people.,It is carried out by American and Pakistani agencies and Peer Sahib is a victim of conspiracy.,In this forum all reviews will be against Taliban&#44; Agencies have been successfully indulged in Taliban and are applying the policies which might change public opinion.
1031,what i only want to ask is when the body was hanging for a whole day what were the army doing were they there to only target civilians all they give their speeches is due to bombing Taliban tanks&#44; there fell a bomb on house resulting death of two children and mother.,whether they dint know about this situation.,Or else having fun.,we fold our hands and request you to please end this game.,atlast above you also there is a master.,The BBC&#44; was asked the question is not enough to write to see the superficialness regret&#44; for example&#44; a question did not present in the Swat 30 thousand army has been to what?,The Taliban of army fight the dead bodies are all day bleeding on electric poles there.,The Green sawati step&#44; the Pakistani army has 100&#44; media&#44; including the BBC&#44; the real world and the reality&#44; is not a good ignoramus.,The Pakistani army drama.,The Swat child is that it is a bloody drama.
1041,Only thing bus to drama.,These Taliban&#39;s have spoilt the name of Muslims,Through out the world if Muslims don&#39;t tell them Muslims then why would terrorists are found in their territories.,those who become insensitive and people who don&#39;t want to work hard take guns and join these groups,Islam has not spread from guns and swords.,be ashamed,Its need is neither in any religion nor in any customs.,All media including BBC gives thier views about taliban and tribal areas by different resources,But nobody knows what the actual situation is. It is we who know about it because we are tribals.,In short this is a game in which CIA&#44; RAW&#44; MUSAD&#44; and our own ISI is involved.There is nothing like taliban or tribal people&#44; they are the negative elements created by these institutions who are spoiling the name of Islam&#44; Taliban&#44; Religous institutes&#44; Pukhtoon nation and Tribals.
1051,Because of this act&#44; head of the Muslims petulance of shame .,I salute to M.Q.M leader Iltaf Hussein&#44;A.N.P and to the division of the P.P.P for raising their voices against this cancer&#44;named Taliban.,This cancer is creation of Zia-ul-haq&#44;who is gone but he has also destroyed the Pakistan.,But i am hopefull that the present Government will abolish this Cancer.,Mumbai&#44; India after the attacks said that Pakistan behind these attacks&#44; some of the extremist elements.,Pakistan has denied charges and said that he India in the investigation will provide all possible help.,India has said that Pakistan is a list&#44; in which 20 suspected extremists in the name of the given to India&#44; which are required.,Pakistan has said that the list of Jaish-e- Mohammad included in the head of Maulana Masood Azhar detainee and about the Pakistan government is not any information.,Before this&#44; Pakistan president Asif Ali Zardari&#44; rejected the impression that the Western intelligence agencies and the Indian government to Pakistan&#44; the Mumbai attacks have been provided evidences.,The president Ajmal butcher said about not prove that it is still that he Pakistani.
1061,During the Prime Minister Manmohan Singh has warned that relations between India and not revamped until the soil there to the terrorism used to be.,Latest progress and in India and Pakistan cricket team has canceled the visit.,The incidents of their political influence on the sports should go?,Pakistan and India have the future relations with the India.,Pakistan will not be torn apart by America or India.,It will be torn apart by Pakistani themselves.,What can you expect after so much internal segregation and rivalry?,However&#44; Jinnah didn&#39;t do well with the Muslims from India&#44; and time has already proven that.,Yasmin: Chicago.,Madam&#44; if Jinnah&#39;s work was carried forward&#44; then these internal cancer of segregation and rivalry would not have spread&#44; and the muslims in India wouldn&#39;t be in the situation they are in now.
1071,It&#39;s our fault that after him&#44; no other leader could stand in his shoes.,But if we can&#39;t appreciate our heroes&#44; then....,This sector does have a lot of abilities.,God knows when they will come to their senses and use the blessing of unity to make some progress.,Both countries have priests&#44; Shiv sena&#44; RSS etc. that constantly oppose peace.,And these negative forces do not want the sector to make any progress&#44; hence the countries are kept on their toes.,Can you imagine the status of this place in the world for Pakistan&#44; India and China&#44; with just a little bit of unity?,Pakistan is cursed by God for having robbers and thieves as their appointed leaders.,May god never affect our country Pakistan.,Please be open about the facts on the situation&#44; take notice of the warning signs that they will reach the troops.
1081,Besides the matters are not correct coming into NWFP Baluchistan and Sindh and the situation in Karachi is in front of you.,The winner in her country is spokes person&#44; her ambition is to unite the nations.,Or&#44; we have mercy on the form.,I think a last war is the only option.,That&#39;s it&#44; enough is enough.,This situation is &quot;&quot;now or never&quot;&quot;.,These false acts of cooperation will not solve the problem.,Nor will small terrorist attacks in each others countries.,Afterall&#44; even Europe was founded after the last world war.,And if there had not been a great war&#44; then they would still be fighting back and forth like Pakistan and India.
1091,Almost all of our political parties are agreed on the fact that terrorism and sectarianism should be rooted out of the country.,But our military leadership does not seem sincere in this regard. On one hand they assure America and Europe that they are with them in this war against terror and on the other hand are covertly aiding the Taliban.,We should now ponder and set our direction and choose one path only. Thanks,There is no doubt that the majority of the movement league are from the Tayaba Group&#44; who joined the league after the inception of Pakistan.,However&#44; after that&#44; this leagues obstructed aid campaigns&#44; and now on India&#39;s insistence&#44; United Nations has declared them as the enemy and even the Government of Pakistan is cracking down on them.,In my opinion&#44; if these Jihadi groups quit this religious fanaticism&#44; and try helping instead&#44; then it would be better for all.,The terrorist organizations present in Pakistan are employing professional criminals in the name of Jihad&#44; the mentors of these and the mullahs are the same people who called Pakistan&#44; Paleedistan and what not from time to time.,They are not letting any stone unturned in the destruction of Pakistan.,They do not deserve to be called humans let alone muslims.,Without rooting these miscreants out of Pakistan&#44; the national security will be at risk.
1101,Is there still room for consideration whether these scoundrels should be banned?,There is no place in this world for extremist mullahs whose only purpose is to kill.,Heart is breaking into pieces on this news.,What world is this where it is hard to survive for the one who names an important part of Allah&#39;s religion Islam.,Non Muslims can kill Muslim&#44; but if Muslim even tries to take revenge then along with the whole non Muslim world our hypocrite leaders also treat the ones sincere with true and sincere religion like they are treating our great leader Hafiz Saeed now a days.,As a penalty of Mumbai attacks India.,Pakistan relations are affected&#44; and the recent improvement of relations between two countries is enormously shocked.,India has been continually blaming active armed and unarmed groups in Pakistan,and is linking the establishment of normal relations with the action against these groups.,Whereas Indian Security agencies has directly blamed Lashkr e Taiba for Mumbai attacks
1111,&#44; in this regard Jamat Adawa has also been nominated.,It is not the first time that because of any terrorist attack the relation of these two countries are worsen.,In December 2000 after the attacks on Indian Parliament both countries were at the brink of war.,After that&#44; in 2002 Lashkr e Taiba was banned and was included in terrorists list.,Now Jamat Adawa&#44; to whom security analysts is a fresh disguise of Lashkr e Taiba&#44; is demanded to be banned.,What do you think&#44; should this group be banned or not?,Should Pakistan take decisive action against active extremist groups on her soil?,Can by banning Jamat Adawa present India&#44;,Pakistan crisis will vanish and to what extent it is vital to ban armed groups for establishing forever peace between the two countries.,The UN Security Council on the party Al-qaeda banned&#44; the end of the Security Council&#44; what are the evidence seems so hurry?
1121,What the Security Council against Muslims endorses such activity is not showned?,To say that the plaintiff slow are witness mercurial!,India&#44; itself has become a failed government!,The army&#44; intelligence and other security institutions have failed&#44; the terrorists who hands may carry 72 hours of the Defense Department was Round and its failure of India accused Pakistan of put and the entire world.,A pagan killed the should be a noise around the world are bandaged. this song huddled?,Countries only religious and non-political&#44; Welfare Organization.,Furqan Farooq&#44; Faisalabad,Our prophet (directives for)&#44; scholars and all the saints love the people and gave respect to them&#44; Islam remains a peaceful religion.,The Muslims have also progressed on war grounds.,When this beautiful anarchy climed deen started then MOMIN and pagan fulfill their dreams of violence and the opening new chapter started first aware of the &#39;not.
1131,The passion is to be saluted. ut try your riches in the action,This do not come during the falling,If this irritates&#44; India should give the proofs,Isn&#39;t the river tame not grouped,All of us who are accused should put on the river tame,Does this banning of groupism apply for people in India who are extremist and other organisations?,The entire world is of terrorists,What about in India?,What is Israel?,The Islamic world is considered to have groupisms and are fighting
1141,Pakistan is now in it&#39;s last stages.,Kamran Hassan: Abu Dhabi,Your words touch the heart&#44; and the situation seems so.,Now in American publications&#44; the new map of Pakistan is being printed&#44; and all these restrictions are now apparent in the series of events.,The Americans are not slowly but quickly strengthening their control over Pakistan.,In this situation&#44; if we do not stand together and show our unity&#44; then remember&#44; if Bangladesh can be made&#44; then anything can happen.,Terrorist attacks should be condemned to the maximum&#44; whether they are on the Mumbai Hotel or the Marriot Hotel in Islamabad or in Palestine.,Similarly&#44; terrorists should be hunted down irrespective of their nationality and whether they are Pakistani&#44; Indian&#44; American or Israeli.,Now the question is that every day terrorist attacks take place in Pakistan&#44; hundreds of people die but the Pakistani officials along with the rest of the world stay silent.,Wasn’t the attack on the Marriot Hotel an act of terrorism?
1151,Then why...?,Appreciation for Interior Advisor Rehman Malik&#44; Masha Allah he has become very brave!,According to BBC on one hand (a committee of) Security Council of UN has banned Jamat Aldawa&#44; on the other hand Mr. Malik says we didn&#39;t impose the ban and if it is to be done will be after through research.,Not this&#44; according to BBC Mr.Malik has strongly denied the impression that arrest of terrorists are taking place because of &#39;someone&#39;s instructions&#39;,Highly appreciated!,Keeping Talents or not keeping talents why would not be it said.,We Palestinians are fighting a war for this.,And also its our policies we try to save them.,No one has the right to interfere in any countries affairs.,We cant notice the reign of good.
1161,If people has right view of justice or strengthens on independence respect southern institutions and not help any captain or soldier they there will be definitely peace in Pakistan which is not liked by politicians.,Pakistan is always following European and American purposes.,This goes on without the approval of many of its citizens.,And it invokes hostile sentiments.,If you believe in the United States of America&#44; then why not just give up your place and leave honorably?,Pakistan has the ability to be armed or unarmed.,Security forces raid an alleged camp of banned Lashkr e Taiba in Pakistan administered Kashmir.,Pressure is being increased on Pakistan for taking rapid action against extremist organizations after Mumbai attacks.,India blames Lashkr e Taiba for Mumbai attacks.,American Foreign Secretary Condolisa Rice asked Pakistani leadership to take practical measures for instant and transparent action against the responsible s of Mumbai attacks.
1171,She says that no doubt the extremists responsible for Mumbai attacks used Pakistani soil.,During this Peshawar Government says that unknown armed persons has set another truck stand for supply of goods to Allied Forces deployed in Afghanistan on fire&#44; due to which more then fifty vehicles are destroyed.,It is the second attack on Neto and American supplies during 48 hours in Peshawar.,During this Pakistan raid an alleged camp of banned Lashkr e Taiba and before this struggles has been made to unarm the armed groups from Karachi to Tribal areas including rewards on returning of the weapons and assurance of taking no action.,It is revealed that during the reign of General Zia ul Huq because of the invasion of the ex USSR in Afghanistan and its resistance started by the American and Saudi funding resulted in the birth of armed groups of which Pakistan unable to terminated could not get back herself to the era before 1980s.,The question is does Pakistan want to do it?,Is Pakistan capable of doing this?,What do you think?,For details click here,(Kindly note that due to the increase in reviews&#44; Urdu typed reviews will be published.
1181,For this press alt+shift and select Urdu on onscreen keyboard),I have got a single question from all of the human right champions.,It is impossible for them to stand infront of you with neclaces if you kill their childeren.,NO TRANSLATION FOUND ON 1184,And now I do have a question for you that if there is any logic&#44;statement or philosphy from the Islamic studies to Eastern and Western studies that permit killing innocent people including Nimazi(prayer offerer Muslim)&#44;labourer and job oriented poor workers in revenge of the American attacks?,And if NO&#44;then you need hard to rectify your point of view.,Peoples were armed at that time it was feared that after Afghanistan&#44; Russia will attack Pakistan so people were armed.,Now when there is the danger of American attack via Afghanistan of which current American President clearly expressed in his presidential campaign then why should we disarm these people?,Only for this that after defeating Pakistani Army America or India may not face any public resistance?,Yes&#44; if any of them is involved in sabotage activities then only Pakistan should take action against him.
